行政區,名稱,開放時間,是否有沙坑,是否有廁所,GoogleMap導航,圖片網址,詳細頁網址,經度,緯度,地址
北投區,榮富公園,00:00~24:00,無,有,https://www.google.com/maps/search/?api=1&query=%E6%A6%AE%E8%8F%AF%E4%B8%89%E8%B7%AF%E3%80%81%E7%A3%BA%E6%BA%AA%E6%97%81,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=E9C4254FCD906D5B,121.5247,25.11433,臺北市北投區榮華三路與磺溪旁
萬華區,和平青草園公園,00:00~24:00,無,有,https://www.google.com/maps/search/?api=1&query=%E8%89%8B%E8%88%BA%E5%A4%A7%E9%81%93%E8%88%87%E8%A5%BF%E5%9C%92%E8%B7%AF%E4%BA%8C%E6%AE%B5%E4%BA%A4%E5%8F%89%E5%8F%A3%28%E5%85%AC%E5%9C%92%E5%85%A7%E7%84%A1%E9%9A%9C%E7%A4%99%E8%B7%AF%E7%B7%9A%E5%9C%96%29,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=3AA293074F5855AD,121.49722,25.03267,臺北市萬華區艋舺大道與西園路2段交叉口
南港區,山水綠生態公園,夏季(5月至10月) 05:00~21:00冬季(11月至4月) 06:00~20:00自110年3月1日起每周一休園,無,有,https://www.google.com/maps/search/?api=1&query=%E8%87%BA%E5%8C%97%E5%B8%82%E5%8D%97%E6%B8%AF%E5%8D%80%E5%8D%97%E6%B7%B1%E8%B7%AF37%E8%99%9F,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=0155336C3506EE72,121.62499,25.0293,臺北市南港區南深路37號
大同區,建成公園,00:00~24:00,無,有,https://www.google.com/maps/search/?api=1&query=%E8%87%BA%E5%8C%97%E5%B8%82%E5%A4%A7%E5%90%8C%E5%8D%80%E6%89%BF%E5%BE%B7%E8%B7%AF%E4%BA%8C%E6%AE%B535%E8%99%9F%E6%97%81,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=8F88D647FB637BD2,121.51858,25.05417,臺北市大同區承德路2段35號旁
內湖區,潭美國小,(一)週一至週五19:00~21:00(目前紅火蟻防治暫停開放)(二)週六、週日05:00~18:00(目前紅火蟻防治暫停開放),無,有,https://www.google.com/maps/search/?api=1&query=%E8%87%BA%E5%8C%97%E5%B8%82%E5%85%A7%E6%B9%96%E5%8D%80%E8%A1%8C%E5%96%84%E8%B7%AF179%E8%99%9F,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=0439AECF2E9C6F91,121.58107,25.05921,臺北市內湖區行善路179號
大安區,古亭國小,週一至週五17:30~19:00；週六至週日9:00~19:00,無,有,https://www.google.com/maps/search/?api=1&query=%E8%87%BA%E5%8C%97%E5%B8%82%E5%A4%A7%E5%AE%89%E5%8D%80%E7%BE%85%E6%96%AF%E7%A6%8F%E8%B7%AF%E4%B8%89%E6%AE%B5201%E8%99%9F,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=06703E1ECDFE5DBC,121.52848,25.02067,臺北市大安區羅斯福路3段201號
北投區,文林國小,週一至週五5:00-9:00 、18:30-21:00週六至週日05:00~21:00,無,有,https://www.google.com/maps/search/?api=1&query=%E8%87%BA%E5%8C%97%E5%B8%82%E5%8C%97%E6%8A%95%E5%8D%80%E6%96%87%E6%9E%97%E5%8C%97%E8%B7%AF155%E8%99%9F,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=0586ED4AC41C7965,121.51475,25.10593,臺北市北投區文林北路155號
北投區,榮華公園,00:00~24:00,無,有,https://www.google.com/maps/search/?api=1&query=%E8%87%BA%E5%8C%97%E5%B8%82%E5%8C%97%E6%8A%95%E5%8D%80%E6%98%8E%E5%BE%B7%E8%B7%AF150%E5%B7%B7,,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=C80DB97C32E565ED,121.52212,25.11081,臺北市北投區明德路150巷
內湖區,石潭公園,00:00~24:00,有,有,https://www.google.com/maps/search/?api=1&query=%E5%85%A7%E6%B9%96%E5%8D%80%E5%AE%89%E5%BA%B7%E8%B7%AF4%E8%99%9F%28%E5%85%AC%E5%9C%92%E5%85%A7%E7%84%A1%E9%9A%9C%E7%A4%99%E8%B7%AF%E7%B7%9A%E5%9C%96%29,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=3E7422404E505948,121.59173,25.06351,臺北市內湖區成功路2段東側
文山區,萬芳4號公園,00:00~24:00,有,有,https://www.google.com/maps/search/?api=1&query=%E8%87%BA%E5%8C%97%E5%B8%82%E6%96%87%E5%B1%B1%E5%8D%80%E8%90%AC%E5%92%8C%E8%A1%971%E8%99%9F%E5%B0%8D%E9%9D%A2,https://www.google.com/images/cleardot.gif,https://play4u.gov.taipei/News_Content.aspx?n=4773608F226124D4&sms=7B56BA5392EB632C&s=26F469620122A80B,121.56839,25.00121,臺北市文山區萬和街1號對面
